type,etablissement,norme,operationnel,detenus,date,densite,dir_interregionale
MA,Limoges,83,83,126,2019-02-01,151.80722891566265,Bordeaux
MA,Niort,66,66,105,2019-02-01,159.0909090909091,Bordeaux
MA,Pau,255,250,165,2019-02-01,66,Bordeaux
MA,Périgueux,101,99,108,2019-02-01,109.09090909090908,Bordeaux
MA,Rochefort,52,52,86,2019-02-01,165.3846153846154,Bordeaux
MA,Saintes,85,85,107,2019-02-01,125.88235294117646,Bordeaux
MA,Tulle,47,47,61,2019-02-01,129.7872340425532,Bordeaux
qMA,Bordeaux Gradignan,354,350,616,2019-02-01,176,Bordeaux
qMA,Mont-de-Marsan,333,333,313,2019-02-01,93.993993993994,Bordeaux
qMA,Poitiers-Vivonne,305,305,399,2019-02-01,130.81967213114754,Bordeaux
CD,Bédenac,194,194,166,2019-02-01,85.56701030927834,Bordeaux
CD,Eysses,290,290,273,2019-02-01,94.13793103448276,Bordeaux
CD,Mauzac,369,369,317,2019-02-01,85.90785907859079,Bordeaux
CD,Neuvic,397,397,357,2019-02-01,89.92443324937027,Bordeaux
CD,Uzerche,594,590,558,2019-02-01,94.57627118644068,Bordeaux
qCD,Mont-de-Marsan,368,363,322,2019-02-01,88.70523415977961,Bordeaux
qCD,Poitiers-Vivonne,271,271,249,2019-02-01,91.88191881918819,Bordeaux
MC,Saint-Martin-de-Ré,478,460,331,2019-02-01,71.95652173913044,Bordeaux
qCPA,Bordeaux Gradignan,82,82,51,2019-02-01,62.19512195121951,Bordeaux
qCPA,Poitiers-Vivonne,27,27,13,2019-02-01,48.148148148148145,Bordeaux
qCSL,Mont-de-Marsan,19,19,9,2019-02-01,47.368421052631575,Bordeaux
qCSL,Poitiers-Vivonne,30,30,11,2019-02-01,36.666666666666664,Bordeaux
MA,Auxerre,101,100,182,2019-02-01,182,Dijon
MA,Belfort,39,39,44,2019-02-01,112.82051282051282,Dijon
MA,Besançon,275,275,373,2019-02-01,135.63636363636365,Dijon
MA,Blois,114,114,140,2019-02-01,122.80701754385966,Dijon
MA,Bourges,116,116,159,2019-02-01,137.06896551724137,Dijon
MA,Dijon,186,186,289,2019-02-01,155.3763440860215,Dijon
MA,Lons-le-Saunier,39,39,66,2019-02-01,169.23076923076923,Dijon
MA,Montbéliard,41,41,58,2019-02-01,141.46341463414635,Dijon
MA,Nevers,118,118,115,2019-02-01,97.45762711864407,Dijon
MA,Tours,145,145,242,2019-02-01,166.89655172413794,Dijon
MA,Vesoul,50,50,67,2019-02-01,134,Dijon
qMA,Châteauroux,105,105,133,2019-02-01,126.66666666666666,Dijon
qMA,Orléans-Saran,531,531,588,2019-02-01,110.73446327683615,Dijon
qMA,Varennes-le-Grand,193,193,299,2019-02-01,154.9222797927461,Dijon
CD,Châteaudun,597,597,550,2019-02-01,92.12730318257957,Dijon
CD,Joux-la-Ville,601,601,552,2019-02-01,91.84692179700498,Dijon
qCD,Châteauroux,270,248,228,2019-02-01,91.93548387096774,Dijon
qCD,Orléans-Saran,217,217,133,2019-02-01,61.29032258064516,Dijon
qCD,Varennes-le-Grand,191,191,185,2019-02-01,96.8586387434555,Dijon
MC,Saint Maur,337,260,183,2019-02-01,70.38461538461539,Dijon
CSL,Besançon,23,23,15,2019-02-01,65.21739130434783,Dijon
CSL,Montargis,20,20,16,2019-02-01,80,Dijon
qCSL,Orléans-Saran,60,60,23,2019-02-01,38.333333333333336,Dijon
MA,Amiens,307,270,414,2019-02-01,153.33333333333334,Lille
MA,Arras,209,209,178,2019-02-01,85.16746411483254,Lille
MA,Béthune,180,180,366,2019-02-01,203.33333333333331,Lille
MA,Douai,384,368,591,2019-02-01,160.59782608695653,Lille
MA,Dunkerque,123,123,119,2019-02-01,96.7479674796748,Lille
MA,Valenciennes,212,212,345,2019-02-01,162.73584905660377,Lille
qMA,Beauvais,586,586,627,2019-02-01,106.99658703071673,Lille
qMA,Laon,189,189,292,2019-02-01,154.49735449735448,Lille
qMA,Liancourt,20,20,16,2019-02-01,80,Lille
qMA,Lille-Annoeullin,477,477,605,2019-02-01,126.83438155136268,Lille
qMA,Lille-Loos-Séquedin (Lille-Loos ),584,584,861,2019-02-01,147.43150684931507,Lille
qMA,Longuenesse,193,193,332,2019-02-01,172.02072538860102,Lille
qMA,Maubeuge,201,201,249,2019-02-01,123.88059701492537,Lille
qMA,Vendin Le Vieil,32,32,12,2019-02-01,37.5,Lille
CD,Bapaume,599,599,551,2019-02-01,91.98664440734558,Lille
qCD,Château-Thierry,29,29,7,2019-02-01,24.137931034482758,Lille
qCD,Laon,199,199,173,2019-02-01,86.93467336683418,Lille
qCD,Liancourt,594,594,485,2019-02-01,81.64983164983165,Lille
qCD,Lille-Annoeullin,209,209,196,2019-02-01,93.77990430622009,Lille
qCD,Longuenesse,399,399,375,2019-02-01,93.98496240601504,Lille
qCD,Maubeuge,199,199,153,2019-02-01,76.88442211055276,Lille
qCD,Vendin Le Vieil,33,33,0,2019-02-01,0,Lille
qMC,Château-Thierry,101,101,72,2019-02-01,71.28712871287128,Lille
qMC,Vendin Le Vieil,171,171,93,2019-02-01,54.385964912280706,Lille
qCPA,Longuenesse,96,96,34,2019-02-01,35.41666666666667,Lille
qCSL,Beauvais,30,30,21,2019-02-01,70,Lille
qCSL,Lille-Loos-Séquedin (Haubourdin),60,60,19,2019-02-01,31.666666666666664,Lille
qCSL,Longuenesse,50,50,4,2019-02-01,8,Lille
EPM,Quiévrechain,60,59,36,2019-02-01,61.016949152542374,Lille
qCNE,Lille-Loos-Séquedin,33,30,19,2019-02-01,63.33333333333333,Lille
MA,Aurillac,72,72,44,2019-02-01,61.111111111111114,Lyon
MA,Bonneville,187,171,261,2019-02-01,152.63157894736844,Lyon
MA,Chambéry,93,93,117,2019-02-01,125.80645161290323,Lyon
MA,Le-Puy-en-Velay,35,35,48,2019-02-01,137.14285714285714,Lyon
MA,Lyon Corbas,688,688,932,2019-02-01,135.46511627906978,Lyon
MA,Montluçon,22,22,37,2019-02-01,168.1818181818182,Lyon
MA,Privas,57,57,75,2019-02-01,131.57894736842107,Lyon
qMA,Aiton,219,219,319,2019-02-01,145.662100456621,Lyon
qMA,Bourg-en-Bresse,388,388,416,2019-02-01,107.21649484536083,Lyon
qMA,Grenoble,232,232,328,2019-02-01,141.3793103448276,Lyon
qMA,Moulins Yzeure,136,136,157,2019-02-01,115.44117647058823,Lyon
qMA,Riom,384,384,383,2019-02-01,99.73958333333334,Lyon
qMA,Saint Etienne-la-Talaudière,287,287,370,2019-02-01,128.9198606271777,Lyon
qMA,Saint-Quentin-Fallavier,237,237,313,2019-02-01,132.06751054852322,Lyon
qMA,Valence,344,344,395,2019-02-01,114.82558139534885,Lyon
qMA,Villefranche-sur-Saône,599,599,704,2019-02-01,117.52921535893155,Lyon
CD,Roanne,599,599,545,2019-02-01,90.98497495826378,Lyon
qCD,Aiton,200,200,189,2019-02-01,94.5,Lyon
qCD,Bourg-en-Bresse,300,300,283,2019-02-01,94.33333333333334,Lyon
qCD,Riom,164,164,156,2019-02-01,95.1219512195122,Lyon
qCD,Saint-Quentin-Fallavier,192,192,181,2019-02-01,94.27083333333334,Lyon
qMC,Moulins Yzeure,123,123,114,2019-02-01,92.6829268292683,Lyon
qMC,Valence,128,63,48,2019-02-01,76.19047619047619,Lyon
CSL,Lyon,116,116,62,2019-02-01,53.44827586206896,Lyon
qCSL,Bourg-en-Bresse,40,40,21,2019-02-01,52.5,Lyon
qCSL,Grenoble,36,36,30,2019-02-01,83.33333333333334,Lyon
qCSL,Riom,20,20,13,2019-02-01,65,Lyon
qCSL,Saint Etienne-la-Talaudière,40,40,22,2019-02-01,55.00000000000001,Lyon
qCSL,Villefranche-sur-Saône,39,39,7,2019-02-01,17.94871794871795,Lyon
